no	coord	coordx	coordy	median.elevation	forest.percent	water.percent
233	499142	499	142	1321	92	0
234	499143	499	143	1343	60	0
235	499144	499	144	1204	71	0
236	499145	499	145	1232	73	0
237	499146	499	146	1332	57	0
238	499147	499	147	1371	80	0
239	499148	499	148	1431	68	0
240	499149	499	149	1472	62	0
241	499150	499	150	1456	47	0
242	499151	499	151	1376	77	0
243	499152	499	152	1264	48	0
244	499153	499	153	1167	24	0
245	499157	499	157	1219	15	0
246	499158	499	158	1263	90	0
247	499159	499	159	1300	99	0
248	499160	499	160	1330	62	0
249	499161	499	161	1349	1	0
250	500111	500	111	459	0	0
251	500112	500	112	440	2	0
252	500113	500	113	422	2	0
253	500114	500	114	419	10	1
254	500115	500	115	385	15	10
255	500116	500	116	389	0	0
256	500117	500	117	380	0	7
257	500118	500	118	376	0	33
258	500119	500	119	384	0	20
259	500120	500	120	381	4	37
260	500121	500	121	386	12	27
261	500122	500	122	389	8	13
262	500123	500	123	392	11	4
263	500124	500	124	421	6	0
264	500125	500	125	416	19	0
265	500126	500	126	410	28	1
266	500127	500	127	425	30	0
267	500128	500	128	431	49	0
268	500129	500	129	450	53	1
269	500130	500	130	460	55	0
270	500131	500	131	475	72	0
271	500132	500	132	470	22	0
272	500133	500	133	467	1	2
273	500137	500	137	543	0	0
274	500138	500	138	549	7	0
275	500139	500	139	600	70	0
276	500140	500	140	691	91	0
277	500141	500	141	890	100	0
278	500142	500	142	1147	98	0
279	500143	500	143	1207	94	0
280	500144	500	144	1166	67	0
281	500145	500	145	1216	87	0
282	500146	500	146	1326	42	0
283	500147	500	147	1342	66	0
284	500148	500	148	1329	36	0
285	500149	500	149	1371	96	0
286	500150	500	150	1502	95	0
287	500151	500	151	1468	95	0
288	500152	500	152	1347	87	0
289	500153	500	153	1286	55	0
290	500154	500	154	1135	3	0
291	500156	500	156	1184	14	0
292	500157	500	157	1197	83	0
293	500158	500	158	1239	96	0
294	500159	500	159	1239	96	0
295	500160	500	160	1296	100	0
296	500161	500	161	1352	52	0
297	501112	501	112	426	0	0
298	501113	501	113	425	25	0
299	501114	501	114	417	7	1
300	501115	501	115	397	11	4
301	501116	501	116	417	3	2
302	501117	501	117	394	0	1
303	501118	501	118	372	0	78
304	501119	501	119	372	0	100
305	501120	501	120	372	0	100
306	501121	501	121	372	0	100
307	501122	501	122	372	0	100
308	501123	501	123	372	0	87
309	501124	501	124	391	1	19
310	501125	501	125	400	24	0
311	501126	501	126	398	6	0
312	501127	501	127	407	9	0
313	501128	501	128	423	41	2
314	501129	501	129	428	18	0
315	501130	501	130	443	3	0
316	501131	501	131	453	9	0
317	501132	501	132	473	17	0
318	501133	501	133	474	0	1
319	501134	501	134	469	7	0
320	501135	501	135	468	1	0
321	501136	501	136	477	0	0
322	501137	501	137	506	6	0
323	501138	501	138	524	0	1
324	501139	501	139	549	13	0
325	501140	501	140	607	18	0
326	501141	501	141	703	89	0
327	501142	501	142	859	100	0
328	501143	501	143	1041	92	0
329	501144	501	144	1086	58	0
330	501145	501	145	1126	53	0
331	501146	501	146	1287	50	0
332	501147	501	147	1286	87	0
333	501148	501	148	1300	87	0
334	501149	501	149	1299	67	0
335	501150	501	150	1355	88	0
336	501151	501	151	1463	59	0
337	501152	501	152	1481	89	0
338	501153	501	153	1374	93	0
339	501154	501	154	1304	24	0
340	501155	501	155	1194	44	0
341	501156	501	156	1050	46	1
342	501157	501	157	1179	83	0
343	501158	501	158	1222	88	0
344	501159	501	159	1215	88	0
345	501160	501	160	1269	100	0
346	501161	501	161	1325	99	0
347	501162	501	162	1345	28	0
348	502112	502	112	424	0	0
349	502113	502	113	427	6	0
350	502114	502	114	417	21	6
351	502115	502	115	412	11	5
352	502116	502	116	421	0	0
353	502117	502	117	421	3	0
354	502118	502	118	400	10	15
355	502119	502	119	372	0	81
356	502120	502	120	372	0	100
357	502121	502	121	372	0	100
358	502122	502	122	372	0	100
359	502123	502	123	372	0	100
360	502124	502	124	372	0	97
361	502125	502	125	372	2	74
362	502126	502	126	372	0	85
363	502127	502	127	372	1	67
364	502128	502	128	387	5	17
365	502129	502	129	412	6	0
366	502130	502	130	426	2	0
367	502131	502	131	432	0	0
368	502132	502	132	444	0	0
369	502133	502	133	463	13	0
370	502134	502	134	468	39	0
371	502135	502	135	472	32	0
372	502136	502	136	466	1	0
373	502137	502	137	490	1	0
374	502138	502	138	513	1	0
375	502139	502	139	533	2	0
376	502140	502	140	554	5	0
377	502141	502	141	609	68	0
378	502142	502	142	712	98	0
379	502143	502	143	823	94	0
380	502144	502	144	978	94	0
381	502145	502	145	1074	23	0
382	502146	502	146	1134	58	0
383	502147	502	147	1193	62	0
384	502148	502	148	1252	78	0
385	502149	502	149	1286	59	0
386	502150	502	150	1279	64	0
387	502151	502	151	1360	78	0
388	502152	502	152	1460	54	0
389	502153	502	153	1458	95	0
390	502154	502	154	1355	91	0
391	502155	502	155	1284	35	0
392	502156	502	156	1119	74	0
393	502157	502	157	1046	30	0
394	502158	502	158	1174	84	0
395	502159	502	159	1192	89	0
396	502160	502	160	1223	100	0
397	502161	502	161	1244	100	0
398	502162	502	162	1336	94	0
399	502163	502	163	1352	4	0
400	503113	503	113	423	0	0
401	503114	503	114	406	0	2
402	503115	503	115	402	0	2
403	503116	503	116	413	2	0
404	503117	503	117	424	0	0
405	503118	503	118	439	3	0
406	503119	503	119	471	4	1
407	503120	503	120	384	1	42
408	503121	503	121	372	0	93
409	503122	503	122	372	0	95
410	503123	503	123	372	0	100
411	503124	503	124	372	0	100
412	503125	503	125	372	0	100
413	503126	503	126	350	0	100
414	503127	503	127	372	0	100
415	503128	503	128	372	0	95
416	503129	503	129	377	0	47
417	503130	503	130	401	4	0
418	503131	503	131	413	0	0
419	503132	503	132	421	1	0
420	503133	503	133	437	11	0
421	503134	503	134	450	19	0
422	503135	503	135	459	43	0
423	503136	503	136	460	17	0
424	503137	503	137	468	2	0
425	503138	503	138	501	0	0
426	503139	503	139	513	2	0
427	503140	503	140	529	1	0
428	503141	503	141	565	37	0
429	503142	503	142	650	89	0
430	503143	503	143	680	96	0
431	503144	503	144	870	92	0
432	503145	503	145	1032	36	0
433	503146	503	146	1058	65	0
434	503147	503	147	1115	79	0
435	503148	503	148	1164	77	0
436	503149	503	149	1253	49	0
437	503150	503	150	1250	34	0
438	503151	503	151	1294	74	0
439	503152	503	152	1362	81	0
440	503153	503	153	1463	73	0
441	503154	503	154	1446	92	0
442	503155	503	155	1316	53	0
443	503156	503	156	1250	21	0
444	503157	503	157	1073	44	0
445	503158	503	158	1050	27	0
446	503159	503	159	1145	61	0
447	503160	503	160	1141	73	0
448	503161	503	161	1208	97	0
449	503162	503	162	1281	100	0
450	503163	503	163	1345	63	0
451	503164	503	164	1354	5	0
452	504115	504	115	405	0	0
453	504116	504	116	420	0	0
454	504117	504	117	423	0	0
455	504118	504	118	429	3	0
456	504119	504	119	462	3	0
457	504120	504	120	476	4	0
458	504121	504	121	428	0	0
459	504122	504	122	403	6	2
460	504123	504	123	387	4	10
461	504124	504	124	372	3	70
462	504125	504	125	372	0	100
463	504126	504	126	372	0	100
464	504127	504	127	372	0	100
465	504128	504	128	372	0	100
466	504129	504	129	372	0	100
467	504130	504	130	372	1	68
468	504131	504	131	384	1	24
469	504132	504	132	390	0	4
470	504133	504	133	398	8	0
471	504134	504	134	432	3	0
472	504135	504	135	445	4	0
473	504136	504	136	450	1	0
474	504137	504	137	448	3	0
475	504138	504	138	478	0	0
476	504139	504	139	494	1	0
477	504140	504	140	503	1	0
478	504141	504	141	540	6	0
479	504142	504	142	569	42	0
480	504143	504	143	618	28	0
481	504144	504	144	783	99	0
482	504145	504	145	913	89	0
483	504146	504	146	1021	73	0
484	504147	504	147	1011	85	0
485	504148	504	148	1131	64	0
486	504149	504	149	1212	65	0
487	504150	504	150	1318	82	0
488	504151	504	151	1297	58	0
489	504152	504	152	1299	40	0
490	504153	504	153	1328	59	0
491	504154	504	154	1429	85	0
492	504155	504	155	1388	93	0
493	504156	504	156	1278	53	0
494	504157	504	157	1220	30	0
495	504158	504	158	1069	14	1
496	504159	504	159	1055	33	1
497	504160	504	160	1094	31	0
498	504161	504	161	1147	71	0
499	504162	504	162	1218	100	0
500	504163	504	163	1300	99	0
501	504164	504	164	1341	66	0
502	504165	504	165	1366	1	0
503	505116	505	116	422	1	0
504	505117	505	117	427	3	0
505	505118	505	118	428	5	0
506	505119	505	119	434	0	0
507	505120	505	120	458	6	0
508	505121	505	121	447	1	0
509	505122	505	122	432	2	0
510	505123	505	123	413	0	0
511	505124	505	124	386	1	21
512	505125	505	125	372	0	90
513	505126	505	126	372	0	100
514	505127	505	127	372	0	100
515	505128	505	128	372	0	100
516	505129	505	129	372	0	100
517	505130	505	130	372	0	100
518	505131	505	131	372	0	100
519	505132	505	132	372	0	90
520	505133	505	133	372	1	69
521	505134	505	134	383	6	23
522	505135	505	135	423	5	0
523	505136	505	136	431	14	0
524	505137	505	137	430	10	0
525	505138	505	138	451	0	0
526	505139	505	139	473	1	0
527	505140	505	140	481	0	0
528	505141	505	141	506	5	0
529	505142	505	142	533	6	0
530	505143	505	143	570	1	0
531	505144	505	144	663	60	0
532	505145	505	145	792	20	0
533	505146	505	146	874	45	0
534	505147	505	147	923	91	0
535	505148	505	148	983	62	0
536	505149	505	149	1146	90	0
537	505150	505	150	1343	80	0
538	505151	505	151	1366	66	0
539	505152	505	152	1377	55	0
540	505153	505	153	1334	50	0
541	505154	505	154	1331	44	0
542	505155	505	155	1360	81	0
543	505156	505	156	1336	86	0
544	505157	505	157	1288	54	0
545	505158	505	158	1209	35	0
546	505159	505	159	1043	6	1
547	505160	505	160	1042	18	0
548	505161	505	161	1088	30	0
549	505162	505	162	1155	86	0
550	505163	505	163	1224	99	0
551	505164	505	164	1286	99	0
552	505165	505	165	1355	67	0
553	506117	506	117	429	0	0
554	506118	506	118	429	0	0
555	506119	506	119	428	3	1
556	506120	506	120	452	3	0
557	506121	506	121	433	1	1
558	506122	506	122	436	0	0
559	506123	506	123	435	0	0
560	506124	506	124	429	6	0
561	506125	506	125	416	2	6
562	506126	506	126	374	0	61
563	506127	506	127	372	0	100
564	506128	506	128	372	0	100
565	506129	506	129	372	0	61
566	506130	506	130	372	0	55
567	506131	506	131	372	0	96
568	506132	506	132	372	0	100
569	506133	506	133	372	0	100
570	506134	506	134	372	0	100
571	506135	506	135	375	1	51
572	506136	506	136	398	20	0
573	506137	506	137	415	11	0
574	506138	506	138	429	0	0
575	506139	506	139	452	3	0
576	506140	506	140	462	0	0
577	506141	506	141	464	9	0
578	506142	506	142	494	10	0
579	506143	506	143	540	15	0
580	506144	506	144	634	6	0
581	506145	506	145	694	7	0
582	506146	506	146	746	49	0
583	506147	506	147	837	41	0
584	506148	506	148	916	80	0
585	506149	506	149	1036	87	0
586	506150	506	150	1184	85	0
587	506151	506	151	1326	87	0
588	506152	506	152	1400	79	0
589	506153	506	153	1430	60	0
590	506154	506	154	1320	19	0
591	506155	506	155	1320	43	0
592	506156	506	156	1322	51	0
593	506157	506	157	1333	92	0
594	506158	506	158	1279	49	0
595	506159	506	159	1130	46	1
596	506160	506	160	1020	5	1
597	506161	506	161	1028	3	0
598	506162	506	162	1090	31	1
599	506163	506	163	1152	66	0
600	506164	506	164	1196	100	0
601	506165	506	165	1269	100	0
602	506166	506	166	1344	51	0
603	507117	507	117	437	0	0
604	507118	507	118	433	0	0
605	507119	507	119	430	3	0
606	507120	507	120	429	5	1
607	507121	507	121	431	1	0
608	507122	507	122	437	0	0
609	507123	507	123	438	1	1
610	507124	507	124	434	2	0
611	507125	507	125	426	2	1
612	507126	507	126	420	6	0
613	507127	507	127	382	1	50
614	507128	507	128	372	0	83
615	507129	507	129	372	0	9
616	507131	507	131	372	0	7
617	507132	507	132	372	0	50
618	507133	507	133	372	0	94
619	507134	507	134	372	0	100
620	507135	507	135	372	0	100
621	507136	507	136	372	4	66
622	507137	507	137	398	1	6
623	507138	507	138	415	1	0
624	507139	507	139	431	11	0
625	507140	507	140	452	4	0
626	507141	507	141	445	13	0
627	507142	507	142	483	21	0
628	507143	507	143	524	67	0
629	507144	507	144	577	55	0
630	507145	507	145	661	38	0
631	507146	507	146	722	16	0
632	507147	507	147	781	3	0
633	507148	507	148	833	14	0
634	507149	507	149	907	75	0
635	507150	507	150	1048	83	0
636	507151	507	151	1152	94	0
637	507152	507	152	1323	77	0
638	507153	507	153	1349	90	0
639	507154	507	154	1368	83	0
640	507155	507	155	1344	33	0
641	507156	507	156	1318	47	0
642	507157	507	157	1355	96	0
643	507158	507	158	1338	52	0
644	507159	507	159	1356	62	0
645	507160	507	160	1189	60	0
646	507161	507	161	1016	5	1
647	507162	507	162	1020	10	3
648	507163	507	163	1066	16	0
649	507164	507	164	1136	87	0
650	507165	507	165	1210	100	0
651	507166	507	166	1297	99	0
652	507167	507	167	1379	41	0
653	508117	508	117	445	0	0
654	508118	508	118	454	0	1
655	508119	508	119	448	2	0
656	508120	508	120	451	0	0
657	508121	508	121	457	1	0
658	508122	508	122	450	4	0
659	508123	508	123	444	0	0
660	508124	508	124	430	0	0
661	508126	508	126	418	2	0
662	508127	508	127	411	9	0
663	508128	508	128	388	2	0
664	508133	508	133	372	0	6
665	508134	508	134	372	0	50
666	508135	508	135	372	0	97
667	508136	508	136	372	0	100
668	508137	508	137	372	1	82
669	508138	508	138	399	0	16
670	508139	508	139	420	1	0
671	508140	508	140	422	0	0
672	508141	508	141	432	12	0
673	508142	508	142	460	5	0
674	508143	508	143	501	11	0
675	508144	508	144	597	12	0
676	508145	508	145	645	59	0
677	508146	508	146	687	35	0
678	508147	508	147	727	7	0
679	508148	508	148	772	8	0
680	508149	508	149	837	11	0
681	508150	508	150	932	73	0
682	508151	508	151	1028	90	0
683	508152	508	152	1177	95	0
684	508153	508	153	1248	100	0
685	508154	508	154	1288	85	0
686	508155	508	155	1395	75	0
687	508156	508	156	1367	38	0
688	508157	508	157	1346	32	0
689	508158	508	158	1330	21	0
690	508159	508	159	1373	61	0
691	508160	508	160	1325	65	0
692	508161	508	161	1127	23	0
693	508162	508	162	1008	11	4
694	508163	508	163	1006	13	45
695	508164	508	164	1071	36	3
696	508165	508	165	1119	63	0
697	508166	508	166	1174	80	0
698	508167	508	167	1281	68	0
699	508168	508	168	1374	44	0
700	509118	509	118	481	4	0
701	509119	509	119	476	9	0
702	509120	509	120	473	0	0
703	509121	509	121	465	0	0
704	509122	509	122	461	1	0
705	509123	509	123	454	0	0
706	509135	509	135	372	0	40
707	509136	509	136	372	0	100
708	509137	509	137	372	0	100
709	509138	509	138	372	3	63
710	509139	509	139	404	9	0
711	509140	509	140	411	23	0
712	509141	509	141	421	5	0
713	509142	509	142	435	0	0
714	509143	509	143	464	1	1
715	509144	509	144	571	17	0
716	509145	509	145	686	2	0
717	509146	509	146	725	7	0
718	509147	509	147	756	0	0
719	509148	509	148	808	19	0
720	509149	509	149	870	0	0
721	509150	509	150	950	6	0
722	509151	509	151	936	8	0
723	509152	509	152	1009	64	0
724	509153	509	153	1128	98	0
725	509154	509	154	1150	95	0
726	509155	509	155	1365	35	0
727	509156	509	156	1432	94	0
728	509157	509	157	1369	40	0
729	509158	509	158	1350	22	0
730	509159	509	159	1340	34	0
731	509160	509	160	1341	82	0
732	509161	509	161	1269	46	0
733	509162	509	162	1106	16	0
734	509163	509	163	1005	0	44
735	509164	509	164	1004	13	72
736	509165	509	165	1071	31	2
737	509166	509	166	1150	29	0
738	509167	509	167	1146	60	0
739	509168	509	168	1284	73	0
740	509169	509	169	1286	31	0
741	510118	510	118	491	0	0
742	510119	510	119	494	54	0
743	510120	510	120	486	33	0
744	510121	510	121	481	7	0
745	510122	510	122	472	22	0
746	510123	510	123	467	7	0
747	510136	510	136	372	0	67
748	510137	510	137	372	0	100
749	510138	510	138	372	9	65
750	510139	510	139	390	40	0
751	510140	510	140	402	39	0
752	510141	510	141	407	0	0
753	510142	510	142	421	9	1
754	510143	510	143	426	7	0
755	510144	510	144	467	9	1
756	510145	510	145	678	29	0
757	510146	510	146	762	32	0
758	510147	510	147	806	43	0
759	510148	510	148	809	80	0
760	510149	510	149	843	31	0
761	510150	510	150	842	16	0
762	510151	510	151	861	36	0
763	510152	510	152	1000	82	0
764	510153	510	153	1067	87	0
765	510154	510	154	1103	86	0
766	510155	510	155	1241	94	0
767	510156	510	156	1446	83	0
768	510157	510	157	1491	59	0
769	510158	510	158	1461	16	0
770	510159	510	159	1395	56	0
771	510160	510	160	1327	54	0
772	510161	510	161	1306	63	0
773	510162	510	162	1272	34	0
774	510163	510	163	1086	17	2
775	510164	510	164	1004	0	76
776	510165	510	165	1004	16	67
777	510166	510	166	1076	14	0
778	510167	510	167	1098	11	0
779	510168	510	168	1157	44	0
780	510169	510	169	1239	90	0
781	510170	510	170	1197	37	0
782	510171	510	171	1186	1	0
783	511119	511	119	505	1	0
784	511120	511	120	501	79	0
785	511121	511	121	492	87	1
786	511122	511	122	482	82	0
787	511123	511	123	472	58	0
788	511124	511	124	465	11	0
789	511136	511	136	372	0	6
790	511137	511	137	372	0	87
791	511138	511	138	372	0	100
792	511139	511	139	372	8	88
793	511140	511	140	372	7	60
794	511141	511	141	386	2	22
795	511142	511	142	403	36	1
796	511143	511	143	413	3	0
797	511144	511	144	432	0	0
798	511145	511	145	517	31	0
799	511146	511	146	686	87	0
800	511147	511	147	782	88	0
801	511148	511	148	862	86	0
802	511149	511	149	792	69	0
803	511150	511	150	792	66	0
804	511151	511	151	786	47	0
805	511152	511	152	948	85	0
806	511153	511	153	1035	84	0
807	511154	511	154	1010	100	0
808	511155	511	155	1220	99	0
809	511156	511	156	1339	79	0
810	511157	511	157	1439	86	0
811	511158	511	158	1516	69	0
812	511159	511	159	1550	40	0
813	511160	511	160	1421	67	0
814	511161	511	161	1350	56	0
815	511162	511	162	1346	47	0
816	511163	511	163	1265	44	0
817	511164	511	164	1051	29	17
818	511165	511	165	1004	0	95
819	511166	511	166	1031	19	46
820	511167	511	167	1076	17	0
821	511168	511	168	1108	35	0
822	511169	511	169	1169	56	0
823	511170	511	170	1198	85	0
824	511171	511	171	1180	55	0
825	512120	512	120	508	12	0
826	512121	512	121	507	30	0
827	512122	512	122	500	40	0
828	512123	512	123	492	29	0
829	512137	512	137	372	0	21
830	512138	512	138	372	0	98
831	512139	512	139	372	0	100
832	512140	512	140	372	0	100
833	512141	512	141	372	0	100
834	512142	512	142	382	7	38
835	512143	512	143	419	3	0
836	512144	512	144	431	5	0
837	512145	512	145	466	0	0
838	512146	512	146	553	26	0
839	512147	512	147	715	78	0
840	512148	512	148	823	35	0
841	512149	512	149	787	34	0
842	512150	512	150	759	28	0
843	512151	512	151	755	26	0
844	512152	512	152	803	19	0
845	512153	512	153	870	67	0
846	512154	512	154	886	100	0
847	512155	512	155	1088	96	0
848	512156	512	156	1301	100	0
849	512157	512	157	1380	60	0
850	512158	512	158	1475	61	0
851	512159	512	159	1547	67	0
852	512160	512	160	1546	19	0
853	512161	512	161	1435	52	0
854	512162	512	162	1367	65	0
855	512163	512	163	1348	63	0
856	512164	512	164	1270	89	0
857	512165	512	165	1032	32	32
858	512166	512	166	1004	1	98
859	512167	512	167	1037	25	22
860	512168	512	168	1068	33	0
861	512169	512	169	1126	56	0
862	512170	512	170	1181	60	0
863	512171	512	171	1176	92	0
864	512172	512	172	1117	9	0
865	513138	513	138	372	0	45
866	513139	513	139	372	0	100
867	513140	513	140	372	0	100
868	513141	513	141	372	0	100
869	513142	513	142	372	0	96
870	513143	513	143	380	0	37
871	513144	513	144	421	14	1
872	513145	513	145	442	4	0
873	513146	513	146	490	0	0
874	513147	513	147	637	53	0
875	513148	513	148	784	15	0
876	513149	513	149	739	2	0
877	513150	513	150	723	1	0
878	513151	513	151	713	7	2
879	513152	513	152	738	13	0
880	513153	513	153	761	68	0
881	513154	513	154	799	65	0
882	513155	513	155	861	85	0
883	513156	513	156	1070	99	0
884	513157	513	157	1337	100	0
885	513158	513	158	1450	75	0
886	513159	513	159	1471	68	0
887	513160	513	160	1585	32	0
888	513161	513	161	1559	21	0
889	513162	513	162	1437	61	0
890	513163	513	163	1415	58	0
891	513164	513	164	1374	53	0
892	513165	513	165	1282	62	0
893	513166	513	166	1010	24	48
894	513167	513	167	1004	9	80
895	513168	513	168	1048	13	3
896	513169	513	169	1081	34	0
897	513170	513	170	1166	61	0
898	513171	513	171	1185	64	0
899	513172	513	172	1116	60	0
900	514138	514	138	372	0	100
901	514139	514	139	372	0	72
902	514140	514	140	372	0	100
903	514141	514	141	372	0	100
904	514142	514	142	372	0	100
905	514143	514	143	372	0	100
906	514144	514	144	373	4	54
907	514145	514	145	408	4	0
