SurveyYear,RouteNumStopNum,JulianDate,Bfow,MinAfterSunset,Temperature
2001,211202.06,124,1,97,19.4
2001,211202.07,124,1,113,19.4
2001,211202.08,124,1,120,19.4
2001,211202.09,124,0,131,20.6
2001,211202.1,124,1,139,20
2001,210302.02,129,0,-21,16.1
2001,210302.03,129,0,-11,16.1
2001,210302.04,129,0,-1,16.1
2001,210302.05,129,0,9,16.1
2001,210302.06,129,0,19,15
2001,210302.07,129,0,29,15.6
2001,210302.08,129,0,39,15.6
2001,210302.09,129,0,49,15
2001,210302.1,129,0,59,15
2001,211002.01,130,0,32,20.6
2001,211002.02,130,0,43,18.9
2001,211002.03,130,0,53,18.9
2001,211002.04,130,0,66,18.3
2001,211002.05,130,1,75,18.3
2001,211002.06,130,0,83,16.7
2001,211002.07,130,0,93,16.7
2001,211002.08,130,0,103,13.9
2001,211002.09,130,0,113,13.9
2001,211002.1,130,0,120,13.9
2001,211102.01,131,1,31,22
2001,211102.02,131,1,43,23
2001,211102.03,131,1,54,20
2001,211102.04,131,0,65,21
2001,211102.05,131,0,78,20
2001,211102.06,131,0,85,20
2001,211102.07,131,0,93,21
2001,211102.08,131,0,100,22
2001,211102.09,131,3,108,21
2001,211102.1,131,0,115,20
2001,210602.01,135,2,69,15
2001,210602.02,135,1,74,15
2001,210602.03,135,1,99,14.4
2001,210602.04,135,0,114,14.4
2001,210602.05,135,2,124,13.9
2001,210602.06,135,0,134,13.9
2001,210602.07,135,0,144,13.9
2001,210602.08,135,0,154,13.9
2001,210602.09,135,0,164,13.3
2001,210602.1,135,0,174,13.9
2001,211301.01,135,0,-9,18
2001,211301.02,135,0,15,18
2001,211301.03,135,0,27,19
2001,211301.04,135,0,39,19
2001,211301.05,135,0,51,17
2001,211301.06,135,0,63,16
2001,211301.07,135,0,75,21
2001,211301.08,135,0,87,20
2001,211301.09,135,0,99,19
2001,211301.1,135,0,111,19
2001,210601.01,156,3,74,21.1
2001,210601.02,156,3,84,21.1
2001,210601.03,156,2,96,21.1
2001,210601.04,156,3,164,20.6
2001,210601.05,156,1,173,21.1
2001,210601.06,156,2,179,20.6
2001,210601.07,156,2,191,20.6
2001,210601.08,156,0,206,20
2001,210601.09,156,1,219,20
2001,210601.1,156,1,228,20
2001,211101.01,157,0,30,19
2001,211101.02,157,0,45,18
2001,211101.03,157,0,58,19.5
2001,211101.04,157,0,69,20
2001,211101.05,157,0,87,21
2001,211101.06,157,0,106,20
2001,211101.07,157,1,128,21
2001,211101.08,157,0,137,20
2001,211101.09,157,0,150,20.5
2001,211101.1,157,0,159,21
2001,210302.01,159,2,36,19.4
2001,210302.02,159,0,46,19.4
2001,210302.03,159,0,56,19.4
2001,210302.04,159,1,66,19.4
2001,210302.05,159,0,76,19.4
2001,210302.06,159,0,86,19.4
2001,210302.07,159,0,96,19.4
2001,210302.08,159,0,106,18.3
2001,210302.09,159,2,116,19.4
2001,210302.1,159,0,126,18.3
2001,211202.01,160,2,97,17.2
2001,211202.02,160,2,106,16.7
2001,211202.03,160,2,115,17.2
2001,211202.04,160,2,138,17.8
2001,211202.05,160,1,148,17.2
2001,211202.06,160,1,155,17.8
2001,211202.07,160,1,166,17.2
2001,211202.08,160,1,174,17.2
2001,211202.09,160,0,183,17.2
2001,211202.1,160,0,192,17.2
2001,211002.01,161,1,33,23.9
2001,211002.02,161,2,43,22.8
2001,211002.03,161,2,50,21.7
2001,211002.04,161,0,69,21.7
2001,211002.05,161,2,76,21.7
2001,211002.06,161,2,83,20.6
2001,211002.07,161,2,94,19.4
2001,211002.08,161,2,103,18.9
2001,211002.09,161,2,115,16.7
2001,211002.1,161,0,125,17.2
2001,211102.01,169,0,34,22
2001,211102.02,169,1,46,21
2001,211102.03,169,1,56,20
2001,211102.04,169,0,64,21
2001,211102.05,169,1,77,21
2001,211102.06,169,0,84,20
2001,211102.07,169,0,92,21
2001,211102.08,169,0,99,21
2001,211102.09,169,3,110,20
2001,211102.1,169,1,118,20
2001,210702.01,171,0,48,26
2001,210702.02,171,0,56,25
2001,210702.03,171,3,60,28
2001,210702.04,171,3,77,23
2001,210702.05,171,3,85,23
2001,210702.06,171,0,93,23
2001,210702.07,171,0,101,23
2001,210702.08,171,2,108,24
2001,210702.09,171,0,116,23
2001,210702.1,171,2,129,24
2001,210602.01,175,3,75,21.1
2001,210602.02,175,2,85,21.1
2001,210602.03,175,0,100,20
2001,210602.04,175,0,110,20
2001,210602.05,175,1,120,20
2001,210602.06,175,0,135,19.4
2001,210602.07,175,2,145,19.4
2001,210602.08,175,0,160,18.9
2001,210602.09,175,1,170,19.4
2001,210602.1,175,2,180,18.9
2001,210801.01,177,0,56,23
2001,210801.02,177,0,68,23
2001,210801.03,177,0,92,22.5
2001,210801.04,177,0,100,23.5
2001,210801.05,177,0,112,22.5
2001,210801.06,177,0,121,23.5
2001,210801.07,177,0,130,22
2001,210801.08,177,0,143,21.5
2001,210801.09,177,0,155,20
2001,210801.1,177,0,163,20
2001,211001.01,178,0,11,26.1
2001,211001.02,178,0,27,25.6
2001,211001.03,178,0,39,25.6
2001,211001.04,178,2,49,25.6
2001,211001.05,178,0,58,25.6
2001,211001.06,178,0,70,24.4
2001,211001.07,178,0,80,24.4
2001,211001.08,178,0,93,25
2001,211001.09,178,0,104,24.4
2001,211001.1,178,1,113,25.6
2001,211301.02,179,0,-9,26
2001,211301.03,179,0,3,26
2001,211301.04,179,0,15,26
2001,211301.05,179,0,27,27
2001,211301.06,179,0,39,26
2001,211301.07,179,0,51,26
2001,211301.08,179,0,63,27
2001,211301.09,179,0,75,28
2001,211301.1,179,0,87,28
2002,211301.01,62,0,63,10
2002,211301.02,62,0,84,10
2002,211301.03,62,0,99,10
2002,211301.04,62,0,109,10
2002,211301.05,62,0,120,10
2002,211301.06,62,0,145,9
2002,211301.07,62,0,158,9
2002,211301.08,62,0,169,9
2002,211301.09,62,0,190,9
2002,211301.1,62,0,213,8
2002,210702.01,67,0,88,12
2002,210702.02,67,0,98,12
2002,210702.03,67,0,111,12
2002,210702.04,67,0,125,12
2002,210702.05,67,0,133,11
2002,210702.06,67,0,138,11
2002,210702.07,67,0,148,11
2002,210702.08,67,0,156,11
2002,210702.09,67,0,164,10
2002,210702.1,67,0,171,10
2002,211202.01,70,0,71,10.6
2002,211202.02,70,0,80,10
2002,211202.03,70,0,89,8.3
2002,211202.04,70,0,97,10.6
2002,211202.05,70,0,106,10.6
2002,211202.06,70,0,113,10.6
2002,211202.07,70,0,120,9.4
2002,211202.08,70,0,127,8.3
2002,211202.09,70,0,135,10.6
2002,211202.1,70,0,146,10
2002,211101.01,73,0,107,11
2002,211101.02,73,0,119,11.5
2002,211101.03,73,0,135,13.5
2002,211101.04,73,0,145,12
2002,211101.05,73,0,167,11.5
2002,211101.06,73,0,182,10.5
2002,211101.07,73,0,212,13
2002,211101.08,73,0,222,12.5
2002,211101.09,73,0,240,9.5
2002,211101.1,73,0,257,6
2002,210901.01,83,0,62,10
2002,210901.02,83,0,82,11.7
2002,210901.03,83,0,99,11.1
2002,210901.04,83,0,116,10
2002,210901.05,83,0,128,10
2002,210901.06,83,0,144,10
2002,210901.07,83,0,155,8.9
2002,210901.08,83,0,167,8.3
2002,210901.09,83,0,182,8.3
2002,210901.1,83,0,192,6.7
2002,210601.01,85,0,55,8.9
2002,210601.02,85,0,64,8.3
2002,210601.03,85,0,78,9.4
2002,210601.04,85,0,87,9.4
2002,210601.05,85,0,105,8.9
2002,210601.06,85,0,117,10
2002,210601.07,85,0,131,9.4
2002,210601.08,85,0,140,10
2002,210601.09,85,0,151,10.6
2002,210601.1,85,0,170,10
2002,210801.01,89,0,73,18
2002,210801.02,89,0,79,17
2002,210801.03,89,0,103,16.5
2002,210801.04,89,0,112,15
2002,210801.05,89,0,123,16.5
2002,210801.06,89,0,132,16
2002,210801.07,89,0,140,15
2002,210801.08,89,0,153,14.5
2002,210801.09,89,0,164,13.5
2002,210801.1,89,0,172,13.5
2002,211002.01,92,0,31,17.2
2002,211002.02,92,0,38,17.8
2002,211002.03,92,0,45,17.8
2002,211002.04,92,0,54,16.7
2002,211002.05,92,0,68,16.7
2002,211002.06,92,0,78,16.7
2002,211002.07,92,0,86,16.7
2002,211002.08,92,0,94,16.7
2002,211002.09,92,0,102,16.7
2002,211002.1,92,0,109,17.2
2002,211001.01,109,0,-3,22.2
2002,211001.02,109,0,13,22.2
2002,211001.03,109,0,23,22.2
2002,211001.04,109,0,36,22.2
2002,211001.05,109,0,49,21.7
2002,211001.06,109,0,60,23.3
2002,211001.07,109,0,69,21.1
2002,211001.08,109,0,82,21.1
2002,211001.09,109,0,94,21.1
2002,211001.1,109,0,106,22.2
2002,210601.01,110,0,34,20
2002,210601.02,110,0,51,20
2002,210601.03,110,0,65,19.4
2002,210601.04,110,0,69,20
2002,210601.05,110,0,91,18.9
2002,210601.06,110,0,102,18.9
2002,210601.07,110,0,114,17.8
2002,210601.08,110,0,128,18.3
2002,210601.09,110,0,137,16.7
2002,210601.1,110,0,152,16.1
2002,211101.01,127,0,49,23.5
2002,211101.02,127,0,62,23
2002,211101.03,127,0,79,21
2002,211101.04,127,0,91,22.5
2002,211101.05,127,0,112,22.5
2002,211101.06,127,1,132,19
2002,211101.07,127,2,156,21.5
2002,211101.08,127,2,164,24
2002,211101.09,127,0,179,21
2002,211101.1,127,2,198,16.5
2002,211202.01,127,2,68,21.1
2002,211202.02,127,2,78,20.6
2002,211202.03,127,2,87,20.6
2002,211202.04,127,1,102,20.6
2002,211202.05,127,1,112,20.6
2002,211202.06,127,2,121,20.6
2002,211202.07,127,2,131,20
2002,211202.08,127,1,140,19.4
2002,211202.09,127,1,150,19.4
2002,211202.1,127,2,159,19.4
2002,210702.01,129,0,69,19
2002,210702.02,129,0,78,18
2002,210702.03,129,1,85,18
2002,210702.04,129,0,98,18
2002,210702.05,129,0,105,18
2002,210702.06,129,0,115,18
2002,210702.07,129,0,122,18
2002,210702.08,129,1,131,19
2002,210702.09,129,0,139,19
2002,210702.1,129,2,148,18
2002,211301.01,131,0,50,19
2002,211301.02,131,0,72,17
2002,211301.03,131,0,83,16
2002,211301.04,131,0,95,15
2002,211301.05,131,0,119,15
2002,211301.06,131,0,139,15
2002,211301.07,131,0,149,15
2002,211301.08,131,0,162,15
2002,211301.09,131,0,181,14
2002,211301.1,131,0,196,13.5
2002,210601.01,160,3,42,20.6
2002,210601.02,160,3,50,20.6
2002,210601.03,160,0,58,20
2002,210601.04,160,1,67,20.6
2002,210601.05,160,1,91,20
2002,210601.06,160,2,101,19.4
2002,210601.07,160,2,113,19.4
2002,210601.08,160,0,121,20.6
2002,210601.09,160,2,132,19.4
2002,210601.1,160,0,151,19.4
2002,210702.01,170,0,146,20
2002,210702.02,170,1,153,20
2002,210702.03,170,0,161,20
2002,210702.04,170,0,173,19
2002,210702.05,170,0,181,20
2002,210702.06,170,0,189,20
2002,210702.07,170,0,196,19
2002,210702.08,170,0,205,19
2002,210702.09,170,0,214,20
2002,210702.1,170,0,222,19
2002,211001.01,172,0,4,21.1
2002,211001.02,172,0,17,21.1
2002,211001.03,172,0,28,21.1
2002,211001.04,172,0,41,21.1
2002,211001.05,172,0,52,20
2002,211001.06,172,0,65,20
2002,211001.07,172,0,75,20
2002,211001.08,172,0,88,20
2002,211001.09,172,0,99,20
2002,211001.1,172,0,108,21.1
2002,211101.01,175,0,29,23
2002,211101.02,175,0,41,23
2002,211101.03,175,0,56,24
2002,211101.04,175,0,67,26.5
2002,211101.05,175,0,89,24
2002,211101.06,175,0,107,24
2002,211101.07,175,0,140,24
2002,211101.08,175,0,150,24
2002,211101.09,175,0,165,23.5
2002,211101.1,175,0,176,24.5
2002,211301.01,176,0,17,27
2002,211301.02,176,0,48,27
2002,211301.03,176,0,59,27
2002,211301.04,176,0,70,27
2002,211301.05,176,0,82,27
2002,211301.06,176,1,99,26
2002,211301.07,176,0,110,27
2002,211301.08,176,0,120,26
2002,211301.09,176,0,142,25
2002,211301.1,176,0,159,24
2002,211202.01,179,0,60,22.2
2002,211202.02,179,0,71,22.8
2002,211202.03,179,1,82,22.2
2002,211202.04,179,1,94,21.7
2002,211202.05,179,0,103,21.1
2002,211202.06,179,0,110,22.2
2002,211202.07,179,0,118,22.8
2002,211202.08,179,1,127,22.2
2002,211202.09,179,0,136,22.8
2002,211202.1,179,1,145,21.7
2002,210901.01,180,0,17,25
2002,210901.02,180,0,31,26.1
2002,210901.03,180,0,42,24.4
2002,210901.04,180,0,60,23.9
2002,210901.05,180,0,72,23.9
2002,210901.06,180,0,84,24.4
2002,210901.07,180,0,93,23.9
2002,210901.08,180,0,101,23.3
2002,210901.09,180,0,108,21.7
2002,210901.1,180,0,115,21.7
2002,211002.01,181,0,32,23.9
2002,211002.02,181,1,41,22.8
2002,211002.03,181,0,50,22.8
2002,211002.04,181,1,58,23.3
2002,211002.05,181,1,67,23.3
2002,211002.06,181,0,76,22.2
2002,211002.07,181,2,92,18.9
2002,211002.08,181,0,101,18.9
2002,211002.09,181,0,111,18.9
2002,211002.1,181,0,121,20
2003,210702.01,75,0,115,12
2003,210702.02,75,0,123,11
2003,210702.03,75,0,132,11
2003,210702.04,75,0,142,11
2003,210702.05,75,0,151,11
2003,210702.06,75,0,160,11
2003,210702.07,75,0,167,11
2003,210702.08,75,0,176,11
2003,210702.09,75,0,185,12
2003,210702.1,75,0,193,12
2003,210902.01,75,0,30,11.1
2003,210902.02,75,0,39,11.1
2003,210902.03,75,0,47,11.1
2003,210902.04,75,0,54,10.6
2003,210902.05,75,0,62,10.6
2003,210902.06,75,0,69,10
2003,210902.07,75,0,77,10
2003,210902.08,75,0,86,10
2003,210902.09,75,0,94,10
2003,210902.1,75,0,103,10.6
2003,211301.01,76,0,47,19
2003,211301.02,76,0,68,16
2003,211301.03,76,0,78,15
2003,211301.04,76,0,89,13
2003,211301.05,76,0,99,14
2003,211301.06,76,0,121,14
2003,211301.07,76,0,131,13
2003,211301.08,76,0,143,11
2003,211301.09,76,0,169,12
2003,211301.1,76,0,182,12
2003,211302.01,76,0,164,23
2003,211302.02,76,0,175,18
2003,211302.03,76,0,184,16
2003,211302.04,76,0,193,19
2003,211302.05,76,0,201,17
2003,211302.06,76,0,211,15
2003,211302.07,76,0,220,15
2003,211302.08,76,0,230,14
2003,211302.09,76,0,237,14
2003,211302.1,76,0,247,14
2003,210601.01,77,0,142,11.1
2003,210601.02,77,0,151,11.1
2003,210601.03,77,0,158,10.6
2003,210601.04,77,0,168,11.1
2003,210601.05,77,0,190,10
2003,210601.06,77,0,199,10
2003,210601.07,77,0,213,10.6
2003,210601.08,77,0,227,10.6
2003,210601.09,77,0,243,10
2003,210601.1,77,0,256,10
2003,210801.01,80,0,75,13.3
2003,210801.02,80,0,85,13.3
2003,210801.03,80,0,110,13.3
2003,210801.04,80,0,120,12.8
2003,210801.05,80,0,137,12.8
2003,210801.06,80,0,147,12.8
2003,210801.07,80,0,155,12.2
2003,210801.08,80,0,168,12.2
2003,210801.09,80,0,179,11.7
2003,210801.1,80,0,187,11.1
2003,211102.01,81,0,38,12.8
2003,211102.02,81,0,49,13.9
2003,211102.03,81,0,56,13.9
2003,211102.04,81,0,63,14.4
2003,211102.05,81,1,79,14.4
2003,211102.06,81,0,86,14.4
2003,211102.07,81,0,93,15
2003,211102.08,81,0,101,15
2003,211102.09,81,2,108,15
2003,211102.1,81,1,115,15
2003,210802.01,88,0,122,18.5
2003,210802.02,88,0,131,18
2003,210802.03,88,0,142,19
2003,210802.04,88,0,156,14
2003,210802.05,88,0,170,13.5
2003,210802.06,88,0,179,14.5
2003,210802.07,88,0,189,14
2003,210802.08,88,0,199,13.5
2003,210802.09,88,1,207,13.5
2003,210802.1,88,0,215,14
2003,210302.01,92,0,64,17.8
2003,210302.02,92,0,74,17.8
2003,210302.03,92,0,84,17.2
2003,210302.04,92,0,94,17.2
2003,210302.05,92,0,104,17.2
2003,210302.06,92,0,114,17.2
2003,210302.07,92,0,124,16.7
2003,210302.08,92,0,134,16.7
2003,210302.09,92,0,144,16.7
2003,210302.1,92,0,154,16.7
2003,211101.01,92,0,53,15.5
2003,211101.02,92,0,68,16.5
2003,211101.03,92,0,81,13.5
2003,211101.04,92,0,96,15
2003,211101.05,92,0,117,16
2003,211101.06,92,0,137,14
2003,211101.07,92,0,160,14.5
2003,211101.08,92,0,168,12
2003,211101.09,92,0,183,11.5
2003,211101.1,92,0,193,11
2003,211002.01,93,0,37,12.8
2003,211002.02,93,0,44,13.3
2003,211002.03,93,0,51,12.8
2003,211002.04,93,0,60,12.2
2003,211002.05,93,0,71,11.1
2003,211002.06,93,0,80,10.6
2003,211002.07,93,0,89,10
2003,211002.08,93,0,98,10
2003,211002.09,93,0,106,10
2003,211002.1,93,0,115,10.6
2003,210302.01,106,0,91,20.6
2003,210302.02,106,0,101,20.6
2003,210302.03,106,0,111,20.6
2003,210302.04,106,2,121,20
2003,210302.05,106,0,131,19.4
2003,210302.06,106,0,141,19.4
2003,210302.07,106,0,151,19.4
2003,210302.08,106,0,161,18.3
2003,210302.09,106,0,171,18.3
2003,210302.1,106,0,181,18.3
2003,210601.01,106,3,80,21.1
2003,210601.02,106,3,94,21.7
2003,210601.03,106,3,110,21.1
2003,210601.04,106,3,119,20.6
2003,210601.05,106,3,134,20.6
2003,210601.06,106,3,149,20
2003,210601.07,106,3,158,19.4
2003,210601.08,106,0,162,20
2003,210601.09,106,2,185,19.4
2003,210601.1,106,2,199,18.9
2003,210902.01,106,3,31,23.3
2003,210902.02,106,2,39,22.2
2003,210902.03,106,2,47,20
2003,210902.04,106,0,54,20.6
2003,210902.05,106,3,63,21.1
2003,210902.06,106,3,70,21.1
2003,210902.07,106,3,79,20
2003,210902.08,106,3,88,18.9
2003,210902.09,106,3,98,18.3
2003,210902.1,106,3,111,17.8
2003,211101.01,119,0,37,20.5
2003,211101.02,119,0,47,21
2003,211101.03,119,0,62,16
2003,211101.04,119,0,74,17.5
2003,211101.05,119,0,92,19
2003,211101.06,119,0,111,15.5
2003,211101.07,119,3,135,18.5
2003,211101.08,119,1,145,15
2003,211101.09,119,0,160,14.5
2003,211101.1,119,0,171,16
2003,211102.01,119,0,33,17.8
2003,211102.02,119,1,44,18.9
2003,211102.03,119,2,52,18.9
2003,211102.04,119,0,58,17.8
2003,211102.05,119,2,70,17.8
2003,211102.06,119,0,78,17.8
2003,211102.07,119,2,85,17.2
2003,211102.08,119,2,92,17.2
2003,211102.09,119,3,100,17.2
2003,211102.1,119,0,106,17.2
2003,211002.01,121,1,4,22.8
2003,211002.02,121,1,15,22.8
2003,211002.03,121,2,23,22.8
2003,211002.04,121,2,33,21.7
2003,211002.05,121,2,45,21.7
2003,211002.06,121,2,56,21.7
2003,211002.07,121,3,66,21.1
2003,211002.08,121,2,76,20.6
2003,211002.09,121,2,85,20.6
2003,211002.1,121,2,96,21.1
2003,210702.01,128,0,25,13
2003,210702.02,128,0,34,13
2003,210702.03,128,2,43,13
2003,210702.04,128,0,55,13
2003,210702.05,128,0,65,13
2003,210702.06,128,0,73,13
2003,210702.07,128,0,82,14
2003,210702.08,128,0,91,14
2003,210702.09,128,0,98,14
2003,210702.1,128,0,105,14
2003,211301.01,131,3,57,22
2003,211301.02,131,0,73,23
2003,211301.03,131,3,84,23
2003,211301.04,131,0,94,22
2003,211301.05,131,3,105,23
2003,211301.06,131,3,119,23
2003,211301.07,131,3,129,23
2003,211301.08,131,3,139,24
2003,211301.09,131,3,154,23
2003,211301.1,131,3,166,23
2003,210801.01,135,0,31,17.2
2003,210801.02,135,0,42,17.2
2003,210801.03,135,0,66,16.7
2003,210801.04,135,0,76,16.7
2003,210801.05,135,0,88,16.7
2003,210801.06,135,0,97,16.7
2003,210801.07,135,0,108,15.6
2003,210801.08,135,0,119,15.6
2003,210801.09,135,0,131,15
2003,210801.1,135,0,141,14.4
2003,211101.01,157,0,0,18.5
2003,211101.02,157,0,11,15
2003,211101.03,157,0,27,17
2003,211101.04,157,0,38,17.5
2003,211101.05,157,0,60,19
2003,211101.06,157,0,78,19
2003,211101.07,157,2,103,17
2003,211101.08,157,0,113,15
2003,211101.09,157,0,133,17
2003,211101.1,157,0,144,17
2003,210902.01,161,2,52,20.6
2003,210902.02,161,0,62,20.6
2003,210902.03,161,2,69,20.6
2003,210902.04,161,3,77,20.6
2003,210902.05,161,2,85,20.6
2003,210902.06,161,0,92,21.1
2003,210902.07,161,2,100,21.1
2003,210902.08,161,0,109,20
2003,210902.09,161,0,117,20.6
2003,210902.1,161,0,125,20.6
2003,211301.01,161,2,55,20
2003,211301.02,161,0,74,20
2003,211301.03,161,0,84,20
2003,211301.04,161,0,94,20
2003,211301.05,161,0,106,19
2003,211301.06,161,2,119,19
2003,211301.07,161,1,129,19
2003,211301.08,161,0,141,19
2003,211301.09,161,1,159,19
2003,211301.1,161,1,173,19
2003,210802.01,164,0,49,25
2003,210802.02,164,0,58,25
2003,210802.03,164,0,68,25
2003,210802.04,164,0,79,25
2003,210802.05,164,0,92,24.5
2003,210802.06,164,3,100,25
2003,210802.07,164,0,114,25
2003,210802.08,164,1,122,24
2003,210802.09,164,0,131,23.5
2003,210802.1,164,1,139,23
2003,210702.01,170,0,48,20
2003,210702.02,170,2,56,20
2003,210702.03,170,2,63,20
2003,210702.04,170,3,75,20
2003,210702.05,170,3,83,20
2003,210702.06,170,3,93,20
2003,210702.07,170,1,100,20
2003,210702.08,170,2,107,20
2003,210702.09,170,1,115,20
2003,210702.1,170,2,124,20
2003,211102.01,174,0,33,23.3
2003,211102.02,174,2,43,23.3
2003,211102.03,174,2,49,23.3
2003,211102.04,174,2,56,23.9
2003,211102.05,174,2,67,24.4
2003,211102.06,174,2,73,24.4
2003,211102.07,174,2,80,24.4
2003,211102.08,174,3,87,23.9
2003,211102.09,174,3,94,23.9
2003,211102.1,174,0,101,23.9
